Archivo,Peso (KB),Algoritmo,Energia Encrypt (J),Energia Encrypt (J/byte),Energia Decrypt (J),Energia Decrypt (J/byte)
audio_076.mp3,3679.11,AES,0.0000,0.00000000,0.0099,0.00000000
audio_076.mp3,3679.11,3DES,1.7158,0.00000046,1.8592,0.00000049
audio_076.mp3,3679.11,ChaCha20,0.0060,0.00000000,0.0040,0.00000000
audio_076.mp3,3679.11,Camellia,0.0235,0.00000001,0.0134,0.00000000
audio_077.mp3,3728.09,AES,0.0105,0.00000000,0.0011,0.00000000
audio_077.mp3,3728.09,3DES,2.2911,0.00000060,2.6398,0.00000069
audio_077.mp3,3728.09,ChaCha20,0.0200,0.00000001,0.0044,0.00000000
audio_077.mp3,3728.09,Camellia,0.1018,0.00000003,0.0130,0.00000000
audio_078.mp3,3777.07,AES,0.0158,0.00000000,0.0046,0.00000000
audio_078.mp3,3777.07,3DES,2.1298,0.00000055,1.9130,0.00000049
audio_078.mp3,3777.07,ChaCha20,0.0150,0.00000000,0.0029,0.00000000
audio_078.mp3,3777.07,Camellia,0.0824,0.00000002,0.0221,0.00000001
audio_079.mp3,3825.44,AES,0.0021,0.00000000,0.0225,0.00000001
audio_079.mp3,3825.44,3DES,2.3206,0.00000059,2.0616,0.00000053
audio_079.mp3,3825.44,ChaCha20,0.0011,0.00000000,0.0039,0.00000000
audio_079.mp3,3825.44,Camellia,0.0206,0.00000001,0.0836,0.00000002
audio_080.mp3,3874.42,AES,0.0167,0.00000000,0.0121,0.00000000
audio_080.mp3,3874.42,3DES,1.9707,0.00000050,2.0078,0.00000051
audio_080.mp3,3874.42,ChaCha20,0.0041,0.00000000,0.0054,0.00000000
audio_080.mp3,3874.42,Camellia,0.0398,0.00000001,0.0449,0.00000001
audio_081.mp3,3922.79,AES,0.0119,0.00000000,0.0105,0.00000000
audio_081.mp3,3922.79,3DES,2.3327,0.00000058,2.2136,0.00000055
audio_081.mp3,3922.79,ChaCha20,0.0013,0.00000000,0.0172,0.00000000
audio_081.mp3,3922.79,Camellia,0.0383,0.00000001,0.0148,0.00000000
audio_082.mp3,3971.76,AES,0.0057,0.00000000,0.0000,0.00000000
audio_082.mp3,3971.76,3DES,2.0624,0.00000051,2.3731,0.00000058
audio_082.mp3,3971.76,ChaCha20,0.0012,0.00000000,0.0027,0.00000000
audio_082.mp3,3971.76,Camellia,0.1702,0.00000004,0.0235,0.00000001
audio_083.mp3,4020.13,AES,0.0148,0.00000000,0.0040,0.00000000
audio_083.mp3,4020.13,3DES,2.0434,0.00000050,1.7527,0.00000043
audio_083.mp3,4020.13,ChaCha20,0.0106,0.00000000,0.0108,0.00000000
audio_083.mp3,4020.13,Camellia,0.1218,0.00000003,0.0767,0.00000002
audio_084.mp3,4069.11,AES,0.0082,0.00000000,0.0043,0.00000000
